V(out)	I(R3)	power	

6.161226e-020	6.161226e+000	3.796070e-019	
6.451596e-020	6.161226e+000	3.974974e-019	
6.755650e-020	6.161226e+000	4.162308e-019	
7.074034e-020	6.161226e+000	4.358472e-019	
7.407423e-020	6.161226e+000	4.563881e-019	
7.756524e-020	6.161226e+000	4.778970e-019	
8.122078e-020	6.161226e+000	5.004196e-019	
8.504860e-020	6.161226e+000	5.240036e-019	
8.905681e-020	6.161226e+000	5.486991e-019	
9.325393e-020	6.161226e+000	5.745585e-019	
9.764885e-020	6.161226e+000	6.016366e-019	
1.022509e-019	6.161226e+000	6.299909e-019	
1.070698e-019	6.161226e+000	6.596815e-019	
1.121159e-019	6.161226e+000	6.907712e-019	
1.173997e-019	6.161226e+000	7.233263e-019	
1.229326e-019	6.161226e+000	7.574156e-019	
1.287263e-019	6.161226e+000	7.931116e-019	
1.347929e-019	6.161226e+000	8.304897e-019	
1.411455e-019	6.161226e+000	8.696295e-019	
1.477975e-019	6.161226e+000	9.106139e-019	
1.547630e-019	6.161226e+000	9.535298e-019	
1.620568e-019	6.161226e+000	9.984683e-019	
1.696943e-019	6.161226e+000	1.045525e-018	
1.776917e-019	6.161226e+000	1.094799e-018	
1.860660e-019	6.161226e+000	1.146395e-018	
1.948351e-019	6.161226e+000	1.200423e-018	
2.040174e-019	6.161226e+000	1.256997e-018	
2.136324e-019	6.161226e+000	1.316238e-018	
2.237006e-019	6.161226e+000	1.378270e-018	
2.342433e-019	6.161226e+000	1.443226e-018	
2.452828e-019	6.161226e+000	1.511243e-018	
2.568427e-019	6.161226e+000	1.582466e-018	
2.689473e-019	6.161226e+000	1.657045e-018	
2.816224e-019	6.161226e+000	1.735139e-018	
2.948948e-019	6.161226e+000	1.816914e-018	
3.087928e-019	6.161226e+000	1.902542e-018	
3.233457e-019	6.161226e+000	1.992206e-018	
3.385845e-019	6.161226e+000	2.086096e-018	
3.545416e-019	6.161226e+000	2.184411e-018	
3.712506e-019	6.161226e+000	2.287359e-018	
3.887471e-019	6.161226e+000	2.395159e-018	
4.070682e-019	6.161226e+000	2.508039e-018	
4.262527e-019	6.161226e+000	2.626239e-018	
4.463414e-019	6.161226e+000	2.750010e-018	
4.673768e-019	6.161226e+000	2.879614e-018	
4.894036e-019	6.161226e+000	3.015326e-018	
5.124685e-019	6.161226e+000	3.157434e-018	
5.366203e-019	6.161226e+000	3.306239e-018	
5.619105e-019	6.161226e+000	3.462058e-018	
5.883925e-019	6.161226e+000	3.625219e-018	
6.161226e-019	6.161226e+000	3.796070e-018	
6.451596e-019	6.161226e+000	3.974974e-018	
6.755650e-019	6.161226e+000	4.162309e-018	
7.074034e-019	6.161226e+000	4.358472e-018	
7.407423e-019	6.161226e+000	4.563881e-018	
7.756524e-019	6.161226e+000	4.778969e-018	
8.122078e-019	6.161226e+000	5.004195e-018	
8.504860e-019	6.161226e+000	5.240036e-018	
8.905681e-019	6.161226e+000	5.486991e-018	
9.325393e-019	6.161226e+000	5.745585e-018	
9.764885e-019	6.161226e+000	6.016366e-018	
1.022509e-018	6.161226e+000	6.299909e-018	
1.070698e-018	6.161226e+000	6.596814e-018	
1.121159e-018	6.161226e+000	6.907713e-018	
1.173997e-018	6.161226e+000	7.233263e-018	
1.229326e-018	6.161226e+000	7.574157e-018	
1.287263e-018	6.161226e+000	7.931116e-018	
1.347929e-018	6.161226e+000	8.304897e-018	
1.411455e-018	6.161226e+000	8.696295e-018	
1.477975e-018	6.161226e+000	9.106139e-018	
1.547630e-018	6.161226e+000	9.535298e-018	
1.620568e-018	6.161226e+000	9.984683e-018	
1.696943e-018	6.161226e+000	1.045525e-017	
1.776917e-018	6.161226e+000	1.094799e-017	
1.860660e-018	6.161226e+000	1.146395e-017	
1.948351e-018	6.161226e+000	1.200423e-017	
2.040174e-018	6.161226e+000	1.256997e-017	
2.136324e-018	6.161226e+000	1.316237e-017	
2.237006e-018	6.161226e+000	1.378270e-017	
2.342433e-018	6.161226e+000	1.443226e-017	
2.452828e-018	6.161226e+000	1.511243e-017	
2.568426e-018	6.161226e+000	1.582466e-017	
2.689473e-018	6.161226e+000	1.657045e-017	
2.816224e-018	6.161226e+000	1.735139e-017	
2.948948e-018	6.161226e+000	1.816914e-017	
3.087928e-018	6.161226e+000	1.902542e-017	
3.233457e-018	6.161226e+000	1.992206e-017	
3.385845e-018	6.161226e+000	2.086096e-017	
3.545416e-018	6.161226e+000	2.184411e-017	
3.712506e-018	6.161226e+000	2.287359e-017	
3.887471e-018	6.161226e+000	2.395159e-017	
4.070682e-018	6.161226e+000	2.508039e-017	
4.262527e-018	6.161226e+000	2.626239e-017	
4.463414e-018	6.161226e+000	2.750010e-017	
4.673768e-018	6.161226e+000	2.879614e-017	
4.894036e-018	6.161226e+000	3.015326e-017	
5.124685e-018	6.161226e+000	3.157434e-017	
5.366204e-018	6.161226e+000	3.306239e-017	
5.619105e-018	6.161226e+000	3.462057e-017	
5.883925e-018	6.161226e+000	3.625219e-017	
6.161226e-018	6.161226e+000	3.796070e-017	
6.451596e-018	6.161226e+000	3.974974e-017	
6.755650e-018	6.161226e+000	4.162308e-017	
7.074034e-018	6.161226e+000	4.358472e-017	
7.407423e-018	6.161226e+000	4.563881e-017	
7.756524e-018	6.161226e+000	4.778970e-017	
8.122077e-018	6.161226e+000	5.004195e-017	
8.504859e-018	6.161226e+000	5.240036e-017	
8.905681e-018	6.161226e+000	5.486991e-017	
9.325393e-018	6.161226e+000	5.745585e-017	
9.764885e-018	6.161226e+000	6.016366e-017	
1.022509e-017	6.161226e+000	6.299909e-017	
1.070698e-017	6.161226e+000	6.596814e-017	
1.121159e-017	6.161226e+000	6.907713e-017	
1.173997e-017	6.161226e+000	7.233263e-017	
1.229326e-017	6.161226e+000	7.574156e-017	
1.287263e-017	6.161226e+000	7.931116e-017	
1.347929e-017	6.161226e+000	8.304897e-017	
1.411455e-017	6.161226e+000	8.696295e-017	
