V(out)	I(R3)	power	

8.801803e-020	8.801804e+000	7.747174e-019	
9.216620e-020	8.801804e+000	8.112288e-019	
9.650986e-020	8.801804e+000	8.494608e-019	
1.010582e-019	8.801804e+000	8.894947e-019	
1.058210e-019	8.801804e+000	9.314152e-019	
1.108081e-019	8.801804e+000	9.753114e-019	
1.160304e-019	8.801804e+000	1.021277e-018	
1.214987e-019	8.801804e+000	1.069408e-018	
1.272248e-019	8.801804e+000	1.119807e-018	
1.332207e-019	8.801804e+000	1.172582e-018	
1.394992e-019	8.801804e+000	1.227844e-018	
1.460736e-019	8.801804e+000	1.285711e-018	
1.529578e-019	8.801804e+000	1.346305e-018	
1.601665e-019	8.801804e+000	1.409754e-018	
1.677149e-019	8.801804e+000	1.476194e-018	
1.756191e-019	8.801804e+000	1.545765e-018	
1.838957e-019	8.801804e+000	1.618614e-018	
1.925625e-019	8.801804e+000	1.694897e-018	
2.016377e-019	8.801804e+000	1.774775e-018	
2.111406e-019	8.801804e+000	1.858418e-018	
2.210913e-019	8.801804e+000	1.946002e-018	
2.315110e-019	8.801804e+000	2.037715e-018	
2.424218e-019	8.801804e+000	2.133749e-018	
2.538468e-019	8.801804e+000	2.234310e-018	
2.658102e-019	8.801804e+000	2.339609e-018	
2.783375e-019	8.801804e+000	2.449872e-018	
2.914551e-019	8.801804e+000	2.565331e-018	
3.051909e-019	8.801804e+000	2.686231e-018	
3.195742e-019	8.801804e+000	2.812829e-018	
3.346352e-019	8.801804e+000	2.945393e-018	
3.504061e-019	8.801804e+000	3.084206e-018	
3.669202e-019	8.801804e+000	3.229560e-018	
3.842127e-019	8.801804e+000	3.381764e-018	
4.023200e-019	8.801804e+000	3.541142e-018	
4.212808e-019	8.801804e+000	3.708031e-018	
4.411352e-019	8.801804e+000	3.882785e-018	
4.619252e-019	8.801804e+000	4.065775e-018	
4.836951e-019	8.801804e+000	4.257389e-018	
5.064909e-019	8.801804e+000	4.458034e-018	
5.303611e-019	8.801804e+000	4.668134e-018	
5.553562e-019	8.801804e+000	4.888137e-018	
5.815294e-019	8.801804e+000	5.118507e-018	
6.089360e-019	8.801804e+000	5.359735e-018	
6.376343e-019	8.801804e+000	5.612332e-018	
6.676850e-019	8.801804e+000	5.876833e-018	
6.991521e-019	8.801804e+000	6.153799e-018	
7.321021e-019	8.801804e+000	6.443819e-018	
7.666050e-019	8.801804e+000	6.747507e-018	
8.027340e-019	8.801804e+000	7.065507e-018	
8.405657e-019	8.801804e+000	7.398494e-018	
8.801803e-019	8.801804e+000	7.747175e-018	
9.216619e-019	8.801804e+000	8.112287e-018	
9.650985e-019	8.801804e+000	8.494607e-018	
1.010582e-018	8.801804e+000	8.894947e-018	
1.058209e-018	8.801804e+000	9.314152e-018	
1.108081e-018	8.801804e+000	9.753115e-018	
1.160304e-018	8.801804e+000	1.021276e-017	
1.214987e-018	8.801804e+000	1.069408e-017	
1.272248e-018	8.801804e+000	1.119807e-017	
1.332207e-018	8.801804e+000	1.172582e-017	
1.394992e-018	8.801804e+000	1.227844e-017	
1.460736e-018	8.801804e+000	1.285711e-017	
1.529578e-018	8.801804e+000	1.346305e-017	
1.601665e-018	8.801804e+000	1.409754e-017	
1.677149e-018	8.801804e+000	1.476194e-017	
1.756191e-018	8.801804e+000	1.545765e-017	
1.838957e-018	8.801804e+000	1.618614e-017	
1.925625e-018	8.801804e+000	1.694897e-017	
2.016377e-018	8.801804e+000	1.774775e-017	
2.111406e-018	8.801804e+000	1.858418e-017	
2.210913e-018	8.801804e+000	1.946002e-017	
2.315110e-018	8.801804e+000	2.037715e-017	
2.424218e-018	8.801804e+000	2.133749e-017	
2.538468e-018	8.801804e+000	2.234309e-017	
2.658102e-018	8.801804e+000	2.339609e-017	
2.783375e-018	8.801804e+000	2.449872e-017	
2.914551e-018	8.801804e+000	2.565331e-017	
3.051910e-018	8.801804e+000	2.686231e-017	
3.195742e-018	8.801804e+000	2.812829e-017	
3.346352e-018	8.801804e+000	2.945394e-017	
3.504061e-018	8.801804e+000	3.084206e-017	
3.669202e-018	8.801804e+000	3.229560e-017	
3.842127e-018	8.801804e+000	3.381764e-017	
4.023200e-018	8.801804e+000	3.541142e-017	
4.212808e-018	8.801804e+000	3.708031e-017	
4.411351e-018	8.801804e+000	3.882785e-017	
4.619252e-018	8.801804e+000	4.065775e-017	
4.836951e-018	8.801804e+000	4.257389e-017	
5.064909e-018	8.801804e+000	4.458034e-017	
5.303611e-018	8.801804e+000	4.668134e-017	
5.553562e-018	8.801804e+000	4.888137e-017	
5.815294e-018	8.801804e+000	5.118508e-017	
6.089360e-018	8.801804e+000	5.359735e-017	
6.376343e-018	8.801804e+000	5.612332e-017	
6.676851e-018	8.801804e+000	5.876833e-017	
6.991521e-018	8.801804e+000	6.153799e-017	
7.321021e-018	8.801804e+000	6.443819e-017	
7.666050e-018	8.801804e+000	6.747507e-017	
